x,y,z,a,b,c,d,r
13.15,1.48,3.48,11.94,37.09,34.16,44.72,4.204
2.65,9.02,1.27,11.71,25.76,2.3,10.74,9.189
13.35,11.35,2.98,29.87,40.66,1.32,40.49,8.2886
14.26,7.46,2.4,47.9,17.49,5.54,5.74,9.05
17.1,12.47,8.26,36.76,27.28,48.68,19.55,3.5799
11.49,16.76,6.57,43.22,29.29,35.52,3.25,4.2998
5.33,6.5,1.72,12.41,5.95,14.62,32.15,6.8779
7.93,8.03,2.89,14.08,46.9,32.75,30.85,5.5225
4.25,14.85,2.47,19.59,49.49,32.36,28.29,7.7328
14.01,17.01,7.98,12.22,2.57,16.46,14.12,3.8872
5.01,18.92,8.89,16.42,33.12,20.39,45.81,2.6918
9.72,6.03,3.22,28.51,13.87,29.64,44.99,4.8913
8.59,5.17,9.98,25.97,5.45,3.31,6.37,1.3788
12.92,16.05,4.8,4.11,19.7,49.81,26.93,6.0354
19.45,17.35,1.1,36.32,34.4,27.31,14.07,33.4545
13.18,3.12,4.91,23.23,47.74,43.92,13.91,3.3198
10.51,4.39,9.21,43.66,15.62,32.31,30.84,1.6178
3.9,15.49,5.85,39.15,26.99,1.03,16.88,3.3145
1.37,18.65,8.91,41.75,16.07,3.84,44.02,2.2469
18.99,2.63,5.37,4.39,38.27,38.53,7.29,4.0261
10.03,11.45,3.39,43.75,21.73,11.38,27.43,6.3363
14.87,4.82,3.81,49.76,32.84,22.47,26.36,5.168
3.3,5.27,4.04,29.83,12.28,11.79,4.48,2.1213
12.99,5.35,9.15,43.12,4.47,12.66,33.78,2.0044
5.07,3.51,9.42,28.98,24.16,39.45,40.57,0.9108
4.62,2.84,4.88,21.76,23.88,36.72,33.99,1.5287
19.7,2.87,4.62,17.63,43.22,13.18,10.32,4.8853
9.52,9.02,3.51,13.24,46.24,22.71,43.21,5.2821
11.46,1.96,9.99,41.97,48.48,46.39,42.59,1.3433
4.16,10.23,2.92,20.65,3.87,19.57,49.28,4.9281
6.04,15.9,5.1,21.73,47.91,49.78,28.23,4.302
14.65,3.94,3.67,48.47,29.38,27.57,37.65,5.0654
2.09,12.1,5.53,42.78,8.71,48.08,4.93,2.566
4.53,12.31,7.08,12.52,6.87,44.62,13.06,2.3785
12.3,12.77,4.77,29.6,26.62,46.8,11.01,5.2558
14.61,5.54,4.56,33.91,15.7,16.49,37.84,4.4189
2.38,9.71,9.99,49.81,4.59,11.44,13.99,1.2102
18.73,17.74,8.91,19.11,8.73,41.85,35.47,4.0932
12.62,19.76,6.89,1.38,41.04,15.67,33.51,4.6996
18.84,3.55,2.04,6.24,28.11,14.35,30.64,10.9755
14.63,4.87,6.71,13.94,24.94,45.36,42.46,2.9061
2.75,9.05,3.49,1.17,38.78,32.22,13.84,3.3811
15.08,11.48,4.85,1.47,4.69,44.27,45.29,5.4763
11.37,16.86,6.24,8.26,7.24,16.1,45.05,4.524
16.13,17.35,9.09,11.29,13.23,6.04,39.23,3.6832
17.8,8.72,6.59,8.57,46.56,43.37,48.83,4.0243
16.4,17.75,1.22,37.09,17.28,46.61,40.31,27.9918
17.42,16.4,3.4,39.58,6.3,43.74,43.07,9.9471
5.23,16.52,5.14,15.95,39.97,12.15,2.16,4.2315
4.67,7.24,8.78,48.38,14.68,32.43,20.58,1.3565
